(43.64013116, -116.2129131)
(43.64012894, -116.21276111)
(43.64011891, -116.21259339)
(43.64011323, -116.21242948)
(43.64010882, -116.21228802)
(43.64010207, -116.21217033)
(43.64010652, -116.212063)
(43.64012753, -116.21197817)
(43.6401454, -116.21187745)
(43.64015746, -116.21172259)
(43.64015574, -116.21160419)
(43.64014379, -116.2115091)
(43.64012364, -116.21137681)
(43.64009816, -116.21125537)
(43.64007832, -116.21114894)
(43.64007925, -116.21107431)
(43.64009534, -116.21099371)
(43.64006876, -116.2108765)
(43.64006264, -116.21076677)
(43.64007642, -116.21065396)
(43.64007096, -116.21053398)
(43.64005996, -116.21041373)
(43.64008781, -116.21033301)
(43.64010825, -116.21022898)
(43.64009997, -116.21008732)
(43.6401002, -116.21000153)
(43.64010587, -116.20993686)
(43.64009716, -116.20982642)
(43.64009985, -116.20971348)
(43.64010458, -116.20960136)
(43.64011935, -116.20948354)
(43.64012269, -116.2093565)
(43.64012134, -116.20922863)
(43.64012021, -116.20911158)
(43.64012323, -116.20899309)
(43.6401214, -116.20887714)
(43.6400976, -116.20875393)
(43.64008549, -116.20863714)
(43.64009362, -116.20852141)
(43.64012642, -116.20844902)
(43.64016802, -116.20839971)
(43.64017382, -116.20836004)
(43.64012883, -116.20825822)
(43.64008093, -116.208154)
(43.64003657, -116.20806508)
(43.63999524, -116.20800916)
(43.63996095, -116.20790051)
(43.63993647, -116.20776908)
(43.63992424, -116.20769822)
(43.63989296, -116.20763009)
(43.63982413, -116.20755722)
(43.63976281, -116.20746338)
(43.63969445, -116.20735255)
(43.63964265, -116.20725396)
(43.63960838, -116.20718313)
(43.63957233, -116.2070861)
(43.63953263, -116.20697659)
(43.6394717, -116.20686364)
(43.63942046, -116.20675911)
(43.63939272, -116.20665834)
(43.63933612, -116.20656309)
(43.63924932, -116.20646149)
(43.63922671, -116.20638372)
(43.63918866, -116.2063)
(43.63912154, -116.20621274)
(43.63905471, -116.2061093)
(43.63899521, -116.20602905)
(43.63894311, -116.20598803)
(43.63886739, -116.20597512)
(43.63878861, -116.20597793)
(43.63874079, -116.20595414)
(43.63874512, -116.20581651)
(43.6387679, -116.20567926)
(43.63874505, -116.20565142)
(43.63865485, -116.20562747)
(43.63860594, -116.20562281)
(43.63851348, -116.20554619)
(43.63841791, -116.20547892)
(43.63840158, -116.2054337)
(43.63838107, -116.20539963)
(43.63835749, -116.20536861)
(43.63831947, -116.20532319)
(43.63828238, -116.2052835)
(43.63824951, -116.20525413)
(43.63821778, -116.20522514)
(43.6381918, -116.20519682)
(43.638147, -116.20515938)
(43.63810562, -116.20511539)
(43.63806323, -116.20505461)
(43.63798177, -116.20499327)
(43.6378614, -116.20490328)
(43.63775671, -116.20480928)
(43.63766352, -116.20473505)
(43.63760247, -116.20468729)
(43.63755593, -116.204664)
(43.63746654, -116.20464768)
(43.63737609, -116.20459943)
(43.63732411, -116.20450221)
(43.63724369, -116.20439007)
(43.63716618, -116.20428032)
(43.63712866, -116.20421561)
(43.63709133, -116.20415399)
(43.6370202, -116.20408407)
(43.63693264, -116.20399889)
(43.63684904, -116.20390942)
(43.63675904, -116.20379214)
(43.63669061, -116.20368838)
(43.63663272, -116.20362379)
(43.63655399, -116.20353696)
(43.63647592, -116.20345314)
(43.63640042, -116.2033598)
(43.63632103, -116.20331385)
(43.63623152, -116.20335816)
(43.63611923, -116.20337952)
(43.6360007, -116.20336276)
(43.63599047, -116.20341527)
(43.63594206, -116.20344916)
(43.63585673, -116.20347133)
(43.63579016, -116.20348026)
(43.63573046, -116.20348345)
(43.63563778, -116.20346177)
(43.63554467, -116.20347314)
(43.63545638, -116.20347776)
(43.63536288, -116.20346725)
(43.63531345, -116.20347626)
(43.63525304, -116.203489)
(43.6351884, -116.20349857)
(43.63509067, -116.20350709)
(43.63499468, -116.2035247)
(43.63490919, -116.20353976)
(43.63481292, -116.20351314)
(43.63470592, -116.20350505)
(43.63462184, -116.20349811)
(43.63453368, -116.2034936)
(43.63446256, -116.20349467)
(43.63438043, -116.2035028)
(43.63430823, -116.20349563)
(43.63423566, -116.20348607)
(43.63416417, -116.20347215)
(43.63410563, -116.20343265)
(43.63402284, -116.20342646)
(43.63393151, -116.20345651)
(43.63384738, -116.20347609)
(43.63375781, -116.20349173)
(43.6336568, -116.20348148)
(43.63356939, -116.20344984)
(43.6334722, -116.20343596)
(43.63337869, -116.20343978)
(43.63330017, -116.20346465)
(43.63320021, -116.20348874)
(43.63304638, -116.20346641)
(43.63295563, -116.20346309)
(43.63287076, -116.20346437)
(43.63278119, -116.20346047)
(43.63269525, -116.20346658)
(43.63260252, -116.20348717)
(43.63252973, -116.20347961)
(43.63245924, -116.20345728)
(43.6323525, -116.20346378)
(43.63227662, -116.20345445)
(43.63220316, -116.2034426)
(43.63211702, -116.20344927)
(43.63204081, -116.20345194)
(43.63194971, -116.20346702)
(43.63185622, -116.20346597)
(43.63177112, -116.20345591)
(43.63168977, -116.20345772)
(43.63164108, -116.20346617)
(43.63156136, -116.20347608)
(43.63149457, -116.20348213)
(43.63139882, -116.20348075)
(43.63131344, -116.20348505)
(43.63123628, -116.20349342)
(43.63116944, -116.20349735)
(43.63110319, -116.2035076)
(43.63106026, -116.20353986)
(43.63098061, -116.20355593)
(43.63089002, -116.20354138)
(43.63082136, -116.20350591)
(43.63074561, -116.20349363)
(43.63065562, -116.20349661)
(43.63058693, -116.20352716)
(43.63052083, -116.20353311)
(43.63043195, -116.20352509)
(43.63030244, -116.20349357)
(43.63015079, -116.2034455)
(43.63013311, -116.20344182)
(43.63009713, -116.20342843)
(43.629998, -116.20340587)
(43.62992986, -116.20343626)
(43.62985433, -116.20346581)
(43.62978799, -116.20346775)
(43.62972863, -116.20346635)
(43.62964218, -116.20343989)
(43.62957058, -116.2034153)
(43.62951232, -116.20339521)
(43.62937714, -116.20343531)
(43.62928475, -116.20346267)
(43.62920954, -116.20346459)
(43.62912271, -116.20347435)
(43.62905332, -116.20348491)
(43.6289599, -116.20348344)
(43.62887474, -116.20348227)
(43.62878823, -116.20348454)
(43.62868737, -116.20347948)
(43.6285977, -116.20347147)
(43.62850914, -116.20346246)
(43.62848071, -116.20348253)
(43.62842658, -116.20349591)
(43.62831498, -116.2034792)
(43.62826538, -116.20344567)
(43.62825928, -116.20337409)
(43.62815135, -116.20331645)
(43.62805551, -116.20330826)
(43.62798904, -116.20331582)
(43.62790825, -116.20330927)
(43.62782628, -116.20329834)
(43.62770973, -116.20329342)
(43.62761388, -116.20330055)
(43.62751522, -116.20329752)
(43.62741696, -116.20329744)
(43.62733343, -116.20330385)
(43.62725045, -116.20328467)
(43.62716488, -116.20328778)
(43.62707646, -116.20330725)
(43.62699794, -116.2033118)
(43.62691935, -116.20330042)
(43.62683005, -116.2032796)
(43.62673123, -116.20328464)
(43.62665022, -116.20329578)
(43.62656539, -116.20330259)
(43.62648512, -116.2033108)
(43.62641887, -116.20330972)
(43.62634527, -116.20330875)
(43.6262695, -116.20329224)
(43.62616809, -116.20329346)
(43.62606801, -116.20331134)
(43.62599519, -116.20331019)
(43.62589988, -116.20331616)
(43.62581134, -116.20330081)
(43.62573768, -116.20329226)
(43.62568081, -116.20333771)
(43.62562866, -116.20331554)
(43.62558737, -116.20324848)
(43.62549982, -116.20325342)
(43.62538734, -116.20326217)
(43.62528246, -116.20326812)
(43.6251817, -116.20327348)
(43.62508254, -116.20329049)
(43.62498768, -116.20330804)
(43.62489736, -116.20331889)
(43.6248231, -116.20333791)
(43.62473895, -116.20336232)
(43.62465944, -116.20340988)
(43.62461484, -116.20345241)
(43.62456629, -116.20351277)
(43.6245111, -116.20354945)
(43.62442181, -116.20363223)
(43.6243434, -116.2037344)
(43.62426116, -116.20382302)
(43.62418042, -116.2038944)
(43.62410738, -116.20394395)
(43.62404175, -116.20399608)
(43.62398223, -116.20403749)
(43.6239463, -116.20407313)
(43.62393409, -116.20413929)
(43.62393572, -116.20415311)
(43.6239276, -116.20415711)
(43.62390088, -116.20419587)
(43.6238198, -116.2043091)
(43.62373666, -116.20440976)
(43.62364864, -116.20450097)
(43.62358503, -116.20452394)
(43.62353329, -116.20455035)
(43.62350329, -116.20458402)
(43.62340114, -116.20464279)
(43.62328072, -116.20467437)
(43.62319875, -116.20479115)
(43.62316084, -116.2048804)
(43.62309986, -116.20496074)
(43.62304266, -116.20504766)
(43.62296765, -116.20513588)
(43.62289338, -116.20521344)
(43.62282922, -116.20525131)
(43.62276613, -116.20529751)
(43.62270276, -116.20538111)
(43.6226066, -116.2054374)
(43.6224925, -116.20546631)
(43.62245992, -116.20553938)
(43.62241495, -116.20556136)
(43.6223794, -116.20548034)
(43.62233196, -116.20538895)
(43.62229203, -116.20532738)
(43.62224137, -116.20524195)
(43.62218097, -116.20514543)
(43.6221479, -116.20503206)
(43.62209699, -116.204926)
(43.6220243, -116.20482031)
(43.62196355, -116.20472165)
(43.62190849, -116.20462899)
(43.62184984, -116.20451149)
(43.62179017, -116.20440848)
(43.62174498, -116.2043188)
(43.62171142, -116.20425673)
(43.62168004, -116.20421026)
(43.62160126, -116.20407315)
(43.62154974, -116.20395644)
(43.62153727, -116.20383647)
(43.62145352, -116.20366652)
(43.62140111, -116.20357004)
(43.6213516, -116.20347216)
(43.62130559, -116.20337908)
(43.62127201, -116.20327868)
(43.62123855, -116.20316465)
(43.6211834, -116.20303965)
(43.62111712, -116.20292642)
(43.62104178, -116.2028301)
(43.62094602, -116.20273606)
(43.62087686, -116.20264554)
(43.62082102, -116.20254841)
(43.62077084, -116.2024471)
(43.6207324, -116.20235106)
(43.62068604, -116.20221015)
(43.6206438, -116.20207804)
(43.62059031, -116.20195144)
(43.62059012, -116.20188657)
(43.62061499, -116.20183386)
(43.62062905, -116.20177555)
(43.62060651, -116.20179249)
(43.62057813, -116.20180879)
(43.62052602, -116.20182703)
(43.62044658, -116.20180337)
(43.62036894, -116.20176701)
(43.62035471, -116.20168413)
(43.62034758, -116.20158292)
(43.62029002, -116.20147685)
(43.62020814, -116.2013779)
(43.62013828, -116.20128914)
(43.62007543, -116.20122226)
(43.620035, -116.20119143)
(43.62000685, -116.20115354)
(43.61998421, -116.20110183)
(43.61995556, -116.20103174)
(43.6199161, -116.20095999)
(43.61987021, -116.20088577)
(43.61983246, -116.2008127)
(43.61978115, -116.20072367)
(43.61973099, -116.20064587)
(43.61967423, -116.20054734)
(43.61961768, -116.20044503)
(43.61956432, -116.20033143)
(43.61951492, -116.20022913)
(43.61947051, -116.20013564)
(43.61942934, -116.20004336)
(43.61940897, -116.19998682)
(43.61940132, -116.19995365)
(43.61936606, -116.19988012)
(43.61931002, -116.19975562)
(43.61925487, -116.19966004)
(43.61921331, -116.19958924)
(43.61917726, -116.19952521)
(43.61911629, -116.19941825)
(43.61907306, -116.19932029)
